index,BLEU,ROUGE_L,METEOR,TokenF1,chrF
1,0.085908,0.160000,0.168539,0.240000,0.479152
2,0.035519,0.055556,0.096154,0.055556,0.101885
3,0.149911,0.222222,0.253378,0.222222,0.335714
4,1.000000,1.000000,0.999023,1.000000,1.000000
5,0.124367,0.285714,0.347695,0.342857,0.343026
6,0.095072,0.153846,0.191327,0.153846,0.341204
7,0.064399,0.060606,0.034483,0.060606,0.262374
8,0.031726,0.044444,0.049505,0.044444,0.144066
9,0.086388,0.137931,0.253025,0.206897,0.334221
10,0.069172,0.000000,0.000000,0.000000,0.136458
11,0.185751,0.153846,0.081967,0.153846,0.323373
12,0.071791,0.210526,0.153216,0.210526,0.281567
13,0.108787,0.173913,0.323488,0.260870,0.321754
14,0.074330,0.000000,0.000000,0.000000,0.052776
15,0.097824,0.222222,0.200000,0.222222,0.511061
16,0.106003,0.000000,0.000000,0.000000,0.137413
17,0.252464,0.285714,0.444037,0.476190,0.430712
18,0.069172,0.000000,0.000000,0.000000,0.138835
19,0.054639,0.153846,0.088235,0.230769,0.163953
20,0.103209,0.090909,0.042373,0.090909,0.172409
